transaction_text,category
Bharat Petroleum Pune 2498 txn,Fuel
Fortis Hyderabad 1345,Medical
Tata Cliq Chennai 3971,Shopping
Spencers Hyderabad 3328,Groceries
Ajio Mumbai 1337,Shopping
Google Cloud Chennai 4729,Online Services
McDonalds Hyderabad 1906,Food & Drinks
El3ctricity Bill Hyd3rabad 688,Bills & Recharge
canva kolkata 1391,Online Services
Burger King Hyderabad 1507,Food & Drinks
Flipkart Pun3 4357,Shopping
Vodafone Bill Hyderabad 4524,Bills & Recharge
Indian Oil Mumbai 1810,Fuel
Jio Recharge Hyderabad 4612,Bills & Recharge
Swiggy Mumbai 4932,Food & Drinks
Tata Cliq Chennai 1656,Shopping
Uber Delhi 4133,Travel
Jio R3charg3 Ch3nnai 4098,Bills & Recharge
HP Petrol Pump Delhi 2937,Fuel
Water Bill Kolkata 4525,Bills & Recharge
RedBus Mumb@i 184,Travel
starbucks hyderabad 4165,Food & Drinks
Jio R3charg3 D3lhi 2451,Bills & Recharge
Indian Oil Hyderabad 1833,Fuel
DMart Chennai 4737,Groceries
Spencers Kolkata 2922,Groceries
Nature's Basket Kolkata 1190,Groceries
Amazon Prime Bangalore 1647,Entertainment
Adobe Mumbai 1643,Online Services
Fortis Hyderabad 2159 txn,Medical
Flipkart Pune 2007,Shopping
Ajio Delhi 624,Shopping
IRCTC Pun3 721,Travel
Adobe Chennai 4875,Online Services
Uber Chenn@i 718,Travel
HP Petrol Pump Pune 3967,Fuel
Amazon Prime Bangalore 3778,Entertainment
Water Bill Bangalore 3953,Bills & Recharge
Spencers Kolkata 855,Groceries
Amazon Pune 3038,Shopping
PharmEasy Chennai 1272,Medical
apollo pharmacy pune 2968,Medical
PharmEasy Kolkata 3434,Medical
Nature'sBasketBangalore1266,Groceries
Amazon Prime Chennai 3151,Entertainment
Nature's Basket Chennai 2531,Groceries
Nature's Basket Bangalore 552,Groceries
bigbasket pune 4068,Groceries
Electricity Bill Chennai 3078 txn,Bills & Recharge
Uber Kolkata 4103,Travel
CCD Kolkata 986,Food & Drinks
Ajio Kolkata 2561,Shopping
IRCTC Delhi 3761,Travel
Adobe Chennai 4711,Online Services
Swiggy Pune 1486,Food & Drinks
Jio Recharge Bangalore 1025,Bills & Recharge
PharmEasyKolkata2779,Medical
Adobe Pune 3581 txn,Online Services
hp petrol pump kolkata 1066,Fuel
BookMyShow Chennai 3642 txn,Entertainment
Vodafon3 Bill Bangalor3 1792,Bills & Recharge
Indian Oil Kolkata 1854,Fuel
Reliance Fresh Bangalore 2252 txn,Groceries
Hotstar Delhi 3117,Entertainment
ID-ATM Withdrawal Fee Mumbai 4685,Banking Charges
Ajio Delhi 1988,Shopping
Adobe Chennai 4359,Online Services
Zomato Kolkata 1760,Food & Drinks
DMart Pune 3919,Groceries
Tata Cliq Delhi 687,Shopping
Vodafone Bill Chennai 3111,Bills & Recharge
Shell Petrol Pump Bangalore 1752,Fuel
Netflix Bangalore 4302,Entertainment
Microsoft 365 Hyderabad 1265,Online Services
Max Hospital Mumbai 638 txn,Medical
Tata Cliq Bangalore 4948,Shopping
Google Cloud Pune 123,Online Services
BookMyShow Kolkata 4806,Entertainment
Bank Service Charge Hyderabad 1425,Banking Charges
Zoom Subscription Chennai 2935 txn,Online Services
ATM Withdrawal Fee Mumbai 3697,Banking Charges
BigBasket Kolkata 2649,Groceries
Apollo Pharmacy Delhi 848,Medical
Airtel Recharge Pune 2238,Bills & Recharge
B@nk Service Ch@rge Hyder@b@d 4600,Banking Charges
BigBasket Bangalore 1089,Groceries
Zoom Subscription Kolkata 3600,Online Services
Ola Delhi 4772,Travel
HP Petrol Pump Chennai 4294,Fuel
Amazon Delhi 3746,Shopping
Tata Cliq Mumbai 2816,Shopping
ATM Withdrawal Fee Delhi 3747,Banking Charges
Bharat Petroleum Delhi 4524,Fuel
LatePaymentFeeKolkata922,Banking Charges
Flipk@rt Mumb@i 2024,Shopping
BigBasket Pune 3180,Groceries
PharmEasy Bangalore 4697,Medical
Reliance Fresh Kolkata 4665,Groceries
atm withdrawal fee pune 2715,Banking Charges
Microsoft 365 Hyderabad 773,Online Services
ATM Withdrawal Fee Kolkata 1304,Banking Charges
Bank Service Charge Kolkata 308,Banking Charges
Reliance Fresh Delhi 4159,Groceries
Indian Oil Hyderabad 1761,Fuel
Airtel Recharge Kolkata 4655,Bills & Recharge
Lat3 Paym3nt F33 D3lhi 413,Banking Charges
Ajio Mumbai 532,Shopping
Fortis Chenn@i 1789,Medical
hp petrol pump hyderabad 1336,Fuel
Late Payment Fee Kolkata 4796,Banking Charges
Myntra Chennai 2341,Shopping
1mg Kolkata 2036,Medical
Shell Petrol Pump Kolk@t@ 4754,Fuel
IRCTC Bangalore 4798,Travel
IndiGo Chennai 3947,Travel
Canva Kolkata 3066,Online Services
Electricity Bill Mumbai 2595,Bills & Recharge
max hospital kolkata 641,Medical
Myntra Delhi 1019,Shopping
Canva Chennai 3354,Online Services
Spencers Hyderabad 4257,Groceries
Spencers Kolkata 1476,Groceries
Air India Mumbai 937,Travel
Nature's Basket Pune 3969,Groceries
ID-Late Payment Fee Delhi 232,Banking Charges
Shell Petrol Pump Delhi 3321,Fuel
Air India Mumbai 4563,Travel
Ajio Mumbai 2651,Shopping
bank service charge kolkata 2829,Banking Charges
HotstarKolkata4129,Entertainment
Reliance Fresh Chennai 3578,Groceries
PharmEasy Pune 4064,Medical
Jio Recharge Chennai 357,Bills & Recharge
ID-Air India Kolkata 702,Travel
Airtel Recharge Kolkata 314,Bills & Recharge
Amazon Hyderabad 172,Shopping
Burger King Bangalore 407,Food & Drinks
Shell Petrol Pump Hyderabad 2496,Fuel
SonyLiv Bangalore 3230,Entertainment
Myntr@ Delhi 4848,Shopping
1mg Bangalore 3307,Medical
Ol@ Mumb@i 3233,Travel
PharmEasy Hyderabad 3137 txn,Medical
JioRechargeMumbai3670,Bills & Recharge
BigBasket Delhi 3942,Groceries
Netflix Hyderabad 1548,Entertainment
redbus kolkata 3532,Travel
Microsoft 365 Mumbai 1249,Online Services
SonyLivPune1853,Entertainment
Amazon Chennai 1462,Shopping
Spencers Chennai 4564,Groceries
M@keMyTrip B@ng@lore 3123,Travel
Max Hospital Pune 4153,Medical
Flipkart Delhi 3205,Shopping
Zoom Subscription Kolkata 4932,Online Services
Airt3l R3charg3 D3lhi 421,Bills & Recharge
MakeMyTrip Chennai 1645,Travel
Electricity Bill Hyderabad 66,Bills & Recharge
BigBasket Kolkata 1453,Groceries
Amazon Bangalore 1734,Shopping
Spencers Hyderabad 171,Groceries
SonyLiv Pune 3804 txn,Entertainment
L@te P@yment Fee Pune 254,Banking Charges
WaterBillBangalore4155,Bills & Recharge
ajio mumbai 4397,Shopping
Netflix Bangalore 3669 txn,Entertainment
Tata Cliq Pune 1102,Shopping
Hotstar Bangalore 3580,Entertainment
HP Petrol Pump Chennai 1370 txn,Fuel
Microsoft 365 Bangalore 2545,Online Services
BigBasket Bangalore 4472,Groceries
Bharat Petroleum Kolkata 2801,Fuel
pharmeasy chennai 3489,Medical
Flipkart Hyderabad 2948,Shopping
ID-Reliance Fresh Delhi 2703,Groceries
DMart Pune 1444,Groceries
PharmEasy Bangalore 1899,Medical
Hotstar Hyderabad 2679,Entertainment
ajio mumbai 3813,Shopping
BookMyShow Delhi 2842,Entertainment
Adobe Hyderabad 3106,Online Services
DMart Hyderabad 4385,Groceries
ATM Withdrawal Fee Bangalore 2532,Banking Charges
Hotstar Delhi 4995,Entertainment
BigBasket Chennai 3326,Groceries
Shell Petrol Pump Pune 2074,Fuel
ZomatoChennai2547,Food & Drinks
Bank Service Charge Chennai 4814,Banking Charges
Burger King Kolkata 3652,Food & Drinks
1mgKolkata770,Medical
Late Payment Fee Delhi 701,Banking Charges
McDonalds Delhi 661,Food & Drinks
ID-Amazon Bangalore 203,Shopping
DM@rt Pune 4250,Groceries
Fortis Chennai 4434,Medical
Microsoft 365 Kolkata 1242,Online Services
Starbucks Pune 3197,Food & Drinks
Reliance Fresh Mumbai 4565,Groceries
shell petrol pump chennai 1381,Fuel
max hospital delhi 4927,Medical
Card Annual F33 Pun3 4005,Banking Charges
Airtel Recharge Bangalore 2670,Bills & Recharge
ATM Withdr@w@l Fee Chenn@i 566,Banking Charges
IRCTC Chennai 3540,Travel
nature's basket chennai 1601,Groceries
KFC Bangalore 1221,Food & Drinks
Apollo Pharmacy Hyderabad 2183,Medical
SonyLiv Chennai 4192,Entertainment
McDonalds Pun3 2653,Food & Drinks
Max Hospital Pune 1871,Medical
Max Hospital Mumbai 3035,Medical
Fortis Kolkata 1495,Medical
RedBus Delhi 119 txn,Travel
Water Bill Hyderabad 1709,Bills & Recharge
RedBus Chennai 692,Travel
L@te P@yment Fee Kolk@t@ 3391,Banking Charges
McDonalds Mumbai 3265,Food & Drinks
Max Hospital Kolkata 4120 txn,Medical
SonyLiv Chennai 1867,Entertainment
Indian Oil Pune 2431,Fuel
Jio Recharge Hyderabad 4542,Bills & Recharge
Late Payment Fee Chennai 3505,Banking Charges
PharmEasy Pune 4866,Medical
amazon prime bangalore 1071,Entertainment
Zoom Subscription Chennai 4765,Online Services
bank service charge chennai 499,Banking Charges
BookMyShow Pune 2399,Entertainment
Microsoft 365 Chennai 814,Online Services
Electricity Bill Pune 1490,Bills & Recharge
Shell Petrol Pump Kolkata 4372,Fuel
FortisBangalore2562,Medical
Nature's Basket Pune 500,Groceries
Zomato Pune 1374,Food & Drinks
Water Bill Hyderabad 4935,Bills & Recharge
BookMyShow Hyderabad 403,Entertainment
DMart Hyderabad 2318,Groceries
Ola Kolkata 2035,Travel
Shell Petrol Pump Bangalore 2746,Fuel
Apollo Pharmacy Mumbai 3482,Medical
Electricity Bill Kolkata 760,Bills & Recharge
DMart Pun3 2148,Groceries
ATM Withdrawal Fee Hyderabad 442,Banking Charges
Nature's Basket Pune 2809,Groceries
Air Indi@ Mumb@i 658,Travel
Apollo Pharmacy Bangalore 2648,Medical
MakeMyTrip Hyderabad 3028,Travel
Google Cloud Chennai 359,Online Services
Bharat Petroleum Delhi 4628,Fuel
Airtel Recharge Delhi 4810,Bills & Recharge
Amazon Kolkata 3933 txn,Shopping
SonyLiv Pune 1092,Entertainment
Microsoft 365 Hyderabad 3033,Online Services
Zomato Pune 3901,Food & Drinks
ID-KFC Bangalore 218,Food & Drinks
IRCTC Hyderabad 2683,Travel
Myntra Kolkata 697,Shopping
ATM Withdrawal Fee Pune 4084,Banking Charges
Jio Recharge Mumbai 2544 txn,Bills & Recharge
HP Petrol Pump Mumbai 1325,Fuel
Bank Service Charge Pune 3488,Banking Charges
microsoft 365 pune 3751,Online Services
RedBus Hyderabad 1917,Travel
ID-Ajio Chennai 1630,Shopping
Adobe Bangalore 3191,Online Services
Nykaa Mumbai 3165,Shopping
Netflix Hyderabad 581,Entertainment
Adobe Hyderabad 2802,Online Services
Googl3 Cloud D3lhi 2342,Online Services
BigB@sket Kolk@t@ 2947,Groceries
Amazon Prim3 Kolkata 2442,Entertainment
L@te P@yment Fee B@ng@lore 3721,Banking Charges
Swiggy Kolkata 1084,Food & Drinks
ATM Withdrawal Fee Bangalore 620,Banking Charges
Zoom Subscription Mumbai 3976,Online Services
BigBasket Chennai 2415,Groceries
Nature's Basket Delhi 1812,Groceries
PharmEasy Delhi 1250,Medical
Card Annual Fee Bangalore 3290,Banking Charges
Airtel Recharge Pune 2496,Bills & Recharge
Canva Delhi 4125,Online Services
BookMyShow Mumbai 2906,Entertainment
ID-Bharat Petroleum Kolkata 1913,Fuel
Adobe Hyderabad 3069 txn,Online Services
Airtel Recharge Hyderabad 2522,Bills & Recharge
Water Bill Mumbai 118,Bills & Recharge
MakeMyTrip Chennai 4880,Travel
Adobe Chennai 307,Online Services
Shell Petrol Pump Hyderabad 3374,Fuel
KFC Mumbai 889,Food & Drinks
Amazon Kolkata 2464,Shopping
Zomato Pune 4406,Food & Drinks
Fortis Mumbai 978,Medical
RedBus Delhi 1499,Travel
Hotstar Hyderabad 1957,Entertainment
Apollo Pharmacy Mumbai 1153,Medical
Netflix Kolkata 910,Entertainment
BookMyShow Pune 3600,Entertainment
Reliance Fresh Chennai 1995,Groceries
DMart Bangalore 2553 txn,Groceries
Burger King Kolkata 2166,Food & Drinks
Swiggy Delhi 1723,Food & Drinks
Spencers Pune 4557,Groceries
Canva Mumbai 4623,Online Services
Spencers Mumbai 4204,Groceries
Reliance Fresh Mumbai 3319,Groceries
Shell Petrol Pump Kolkata 2850,Fuel
Amazon Bangalore 4144,Shopping
Tata Cliq Bangalore 704,Shopping
Uber Delhi 1846,Travel
Tata Cliq Pune 4874,Shopping
jio recharge mumbai 119,Bills & Recharge
Reliance Fresh Bangalore 3746,Groceries
Bank Service Charge Mumbai 2790,Banking Charges
Uber Chennai 3830,Travel
PharmEasy Pune 3194,Medical
Nature's Basket Mumbai 644,Groceries
Google Cloud Hyderabad 621,Online Services
Amazon Hyderabad 764,Shopping
DMart Delhi 2852,Groceries
Water Bill Hyderabad 4811,Bills & Recharge
BookMyShow Bangalore 3158,Entertainment
SonyLiv Chennai 1687,Entertainment
Air India Hyderabad 808,Travel
1mg Kolk@t@ 1498,Medical
Spencers Kolkata 1852,Groceries
RedBus Mumbai 3664 txn,Travel
fortis pune 993,Medical
Spencers Kolkata 1490,Groceries
BookMyShow Mumbai 4195,Entertainment
Am@zon Prime Pune 2866,Entertainment
Adobe Kolkata 65,Online Services
Card Annual Fee Pune 4416,Banking Charges
Shell Petrol Pump Chennai 3798,Fuel
Bank Service Charge Chennai 2634,Banking Charges
McDon@lds Hyder@b@d 2992,Food & Drinks
Fortis Bangalore 4393,Medical
Air India Delhi 1381,Travel
Amazon Prime Chennai 3290,Entertainment
Water Bill Mumbai 4638,Bills & Recharge
AmazonPrimeBangalore2516,Entertainment
Google Cloud Hyderabad 1049,Online Services
Lat3 Paym3nt F33 Kolkata 4725,Banking Charges
adobe mumbai 4859,Online Services
Bank S3rvic3 Charg3 Ch3nnai 3127,Banking Charges
IRCTCChennai2787,Travel
Canva Hyderabad 1555,Online Services
HP Petrol Pump Pune 560,Fuel
Jio Recharge Chennai 2061,Bills & Recharge
Canva Chennai 3967,Online Services
SonyLiv Pune 4501,Entertainment
Fortis Kolkata 921,Medical
Jio Recharge Kolkata 1447,Bills & Recharge
Bank Service Charge Bangalore 3383 txn,Banking Charges
Jio Recharge Hyderabad 2956,Bills & Recharge
Nature's Basket Pune 62,Groceries
Shell Petrol Pump Delhi 1250 txn,Fuel
Hotstar Ch3nnai 3987,Entertainment
Lat3 Paym3nt F33 Mumbai 4216,Banking Charges
Myntra Mumbai 1220,Shopping
Reliance Fresh Pune 4609,Groceries
Vodafone Bill Delhi 163,Bills & Recharge
Airtel Recharge Mumbai 95 txn,Bills & Recharge
Jio Recharge Delhi 443,Bills & Recharge
1mg Pune 2341,Medical
ID-Bank Service Charge Delhi 4674,Banking Charges
M@keMyTrip Hyder@b@d 1177,Travel
Myntra Kolkata 3487,Shopping
Flipkart Chennai 2610,Shopping
Netflix Delhi 324 txn,Entertainment
Nature's Basket Pune 4397,Groceries
Canva Pune 3366,Online Services
Late Payment Fee Pune 663,Banking Charges
Jio Recharge Pune 4564,Bills & Recharge
Apollo Ph@rm@cy Pune 3354,Medical
Apollo Pharmacy Pune 1783 txn,Medical
MakeMyTripChennai3029,Travel
Water Bill Chennai 2828,Bills & Recharge
SonyLiv Chenn@i 2352,Entertainment
BigBasket Mumbai 3062,Groceries
PharmEasy Chennai 330,Medical
Amazon Chennai 2706,Shopping
Starbucks Hyderabad 1798,Food & Drinks
Bharat Petroleum Bangalore 406,Fuel
IndiGo Delhi 941,Travel
Shell Petrol Pump Delhi 4115,Fuel
McDonalds Mumbai 4634,Food & Drinks
bharat petroleum hyderabad 1266,Fuel
ATM Withdrawal Fee Delhi 417,Banking Charges
HP Petrol Pump Kolkata 3926,Fuel
Uber Bangalore 2741,Travel
Bharat Petroleum Kolkata 2098,Fuel
Reliance Fresh Delhi 3269,Groceries
M@keMyTrip Pune 1420,Travel
Zomato Kolkata 4417,Food & Drinks
Hotstar Delhi 3242,Entertainment
Microsoft 365 Hyderabad 772 txn,Online Services
Electricity Bill Kolkata 4130 txn,Bills & Recharge
Water Bill Pune 3716,Bills & Recharge
Netflix Mumbai 3252,Entertainment
McDonalds Bangalore 4252,Food & Drinks
Vodafone Bill Hyderabad 299 txn,Bills & Recharge
ID-Zoom Subscription Hyderabad 4772,Online Services
Apollo Ph@rm@cy Kolk@t@ 2314,Medical
hotstar mumbai 814,Entertainment
Swiggy Mumbai 4733,Food & Drinks
Jio Recharge Pune 304,Bills & Recharge
RelianceFreshHyderabad4761,Groceries
SonyLiv Bangalore 1429,Entertainment
Ajio Bangalore 1453,Shopping
redbus mumbai 1956,Travel
IRCTC Bangalore 4292,Travel
ID-Fortis Bangalore 2421,Medical
Google Cloud Mumbai 98,Online Services
Nature's Basket Mumbai 488,Groceries
Swiggy Kolkata 4607,Food & Drinks
Nature's Basket Mumbai 4215,Groceries
Google Cloud Hyderabad 3774,Online Services
IndiGo Delhi 3337,Travel
HP Petrol Pump Kolkata 930 txn,Fuel
MakeMyTripMumbai1473,Travel
ID-Vodafone Bill Bangalore 3515,Bills & Recharge
Zoom Subscription Delhi 2954,Online Services
ATM Withdrawal Fee Delhi 2639 txn,Banking Charges
Bharat Petroleum Kolkata 4990,Fuel
Water Bill Delhi 490,Bills & Recharge
MakeMyTripDelhi2551,Travel
PharmEasy Pune 1646,Medical
Card Annual Fee Hyderabad 2705 txn,Banking Charges
Zoom Subscription Chennai 1021,Online Services
Water Bill Hyderabad 3970,Bills & Recharge
Netflix Chennai 198,Entertainment
Adobe Delhi 630,Online Services
Fortis Bangalore 1983,Medical
ID-Apollo Pharmacy Hyderabad 3223,Medical
KFCPune2252,Food & Drinks
Ajio Delhi 617,Shopping
N@ture's B@sket Hyder@b@d 4863,Groceries
ATM Withdr@w@l Fee Hyder@b@d 2248,Banking Charges
PharmEasy Pune 1902,Medical
Hotstar Pune 1577,Entertainment
Indian Oil Mumbai 646,Fuel
Netflix Kolkata 4825,Entertainment
Electricity Bill Chennai 4477,Bills & Recharge
Vodafone Bill Hyderabad 2311,Bills & Recharge
HP Petrol Pump Chennai 1980,Fuel
Adobe Kolkata 4760,Online Services
IRCTC Mumbai 2776,Travel
Ola Mumbai 2813,Travel
Amazon Prim3 Pun3 1045,Entertainment
Indian Oil Mumbai 1656,Fuel
Reliance Fresh Hyderabad 2352,Groceries
IndiGo Bangalore 273,Travel
ID-Zomato Kolkata 2597,Food & Drinks
DM@rt Delhi 296,Groceries
Nykaa Delhi 3840,Shopping
Myntra Kolkata 4122,Shopping
Googl3 Cloud Hyd3rabad 3989,Online Services
SonyLiv Mumbai 2945,Entertainment
Airtel Recharge Mumbai 2803,Bills & Recharge
McDonalds Hyderabad 3818,Food & Drinks
Bank Service Charge Chennai 901,Banking Charges
card annual fee chennai 4285,Banking Charges
McDonalds Chennai 1205,Food & Drinks
Flipkart Kolkata 1240,Shopping
Bank Service Charge Pune 162,Banking Charges
Swiggy Chennai 4362,Food & Drinks
Bank Service Charge Delhi 3402,Banking Charges
ElectricityBillHyderabad2920,Bills & Recharge
ID-ATM Withdrawal Fee Bangalore 3527,Banking Charges
Reliance Fresh Chennai 3881,Groceries
Apollo Pharmacy Pune 3020 txn,Medical
Starbucks Delhi 619,Food & Drinks
T@t@ Cliq Pune 1967,Shopping
Jio Recharge Kolkata 4283,Bills & Recharge
Flipkart Mumbai 510,Shopping
Bank Service Charge Mumbai 4771,Banking Charges
Zoom Subscription Delhi 1471,Online Services
microsoft 365 delhi 3863,Online Services
Canva Mumbai 4785,Online Services
Burger King Delhi 1226,Food & Drinks
Apollo Pharmacy Kolkata 3643,Medical
Sh3ll P3trol Pump Mumbai 1117,Fuel
Ola Chennai 1704,Travel
ATMWithdrawalFeeMumbai1522,Banking Charges
MakeMyTrip Chennai 50,Travel
Microsoft 365 Kolkata 296,Online Services
RedBus Delhi 3799 txn,Travel
ID-Indian Oil Hyderabad 706,Fuel
Zoom Subscription Bangalore 3862,Online Services
IndiGo Mumbai 2010,Travel
Microsoft 365 Chennai 2578,Online Services
Bank Service Charge Delhi 4785,Banking Charges
Fortis Pune 1266,Medical
ATM Withdrawal Fee Kolkata 4839,Banking Charges
CCD Delhi 2316,Food & Drinks
DMart Bangalore 386,Groceries
Starbucks Pune 4312,Food & Drinks
Bank Service Charge Delhi 1415,Banking Charges
IndianOilPune2218,Fuel
Reliance Fresh Hyderabad 1484,Groceries
BigBasket Mumbai 3631,Groceries
IndiGo Pune 1185,Travel
Tata Cliq Delhi 902,Shopping
Uber Chennai 1598,Travel
Max Hospital Chennai 3685,Medical
Amazon Prim3 Pun3 829,Entertainment
Water Bill Hyderabad 1883,Bills & Recharge
Nature's Basket Pune 1570,Groceries
CCD Bangalore 4140,Food & Drinks
Max Hospital Bangalore 3050,Medical
DMart Chennai 4689,Groceries
Max Hospital Hyderabad 1508,Medical
IndiGo Pune 3479,Travel
M@x Hospit@l Kolk@t@ 3396,Medical
Spencers Bangalore 184,Groceries
PharmEasy Delhi 291,Medical
ID-DMart Chennai 4162,Groceries
Bharat Petroleum Kolkata 682,Fuel
electricity bill kolkata 370,Bills & Recharge
Nature's Basket Chennai 1638,Groceries
Sh3ll P3trol Pump Bangalor3 1505,Fuel
1mg Hyderabad 3901,Medical
Nature's Basket Pune 232,Groceries
ID-IRCTC Mumbai 2954,Travel
Indian Oil Hyderabad 2969,Fuel
Vodafone Bill Chennai 4884,Bills & Recharge
DMart Pun3 3766,Groceries
Burger King Mumb@i 4988,Food & Drinks
HP Petrol Pump Delhi 4303,Fuel
Microsoft 365 Mumbai 1388,Online Services
Amazon Chennai 554,Shopping
Vodafone Bill Kolkata 1842,Bills & Recharge
Ub3r D3lhi 2487,Travel
Bharat Petroleum Pune 4644,Fuel
HP Petrol Pump Bangalore 615,Fuel
Shell Petrol Pump Chenn@i 1151,Fuel
Tata Cliq Delhi 4250,Shopping
Nyk@@ Hyder@b@d 3528,Shopping
Amazon Delhi 1172,Shopping
Shell Petrol Pump Kolkata 4549,Fuel
Zoom Subscription Kolk@t@ 4963,Online Services
Late Payment Fee Chennai 3247,Banking Charges
Zoom Subscription Chennai 802,Online Services
Zomato Delhi 146,Food & Drinks
Netflix Bangalore 2476,Entertainment
PharmEasy Hyd3rabad 1711,Medical
Amazon Prime Pune 172,Entertainment
Mak3MyTrip Pun3 945,Travel
IndiGo Kolkata 2952,Travel
DMart Chennai 3521,Groceries
Zoom Subscription Mumbai 3785,Online Services
Airtel Recharge Mumbai 3954,Bills & Recharge
Ola Hyderabad 3078,Travel
RedBus Pune 2588,Travel
Jio Recharge Kolkata 3714,Bills & Recharge
Bharat Petroleum Delhi 1789,Fuel
Canva Delhi 2738,Online Services
Nykaa Chennai 2299,Shopping
Shell Petrol Pump Mumbai 1920,Fuel
BookMyShow Mumbai 3836,Entertainment
CardAnnualFeePune4243,Banking Charges
Shell Petrol Pump Hyderabad 3975,Fuel
Flipkart Chennai 3255,Shopping
Netflix Mumbai 4453,Entertainment
Swiggy Hyderabad 2008,Food & Drinks
Netflix Delhi 2070,Entertainment
RedBus Pune 2578,Travel
Amazon Prime Delhi 1977,Entertainment
indigo bangalore 851,Travel
PharmEasy Kolkata 2783,Medical
Amazon Delhi 361,Shopping
R3dBus Kolkata 160,Travel
ATM Withdrawal Fee Mumbai 1317,Banking Charges
RedBus Mumbai 2334,Travel
McDonalds Kolkata 1767,Food & Drinks
Apollo Pharmacy Mumbai 2842,Medical
KFC Chennai 4500,Food & Drinks
Apollo Pharmacy Mumbai 4305,Medical
Max Hospital Kolkata 3600,Medical
Bank Service Charge Pune 3007,Banking Charges
Zoom Subscription Chennai 4536,Online Services
Shell Petrol Pump Kolkata 3734,Fuel
ID-Nykaa Bangalore 3599,Shopping
electricity bill hyderabad 468,Bills & Recharge
Zoom Subscription Chennai 3658,Online Services
Fortis Kolkata 1001,Medical
Microsoft 365 Mumbai 496,Online Services
Netflix Kolkata 2361,Entertainment
Max Hospital Bangalore 4320,Medical
Hotstar Mumbai 486,Entertainment
DMart Pune 1241 txn,Groceries
Burger King Hyderabad 2615,Food & Drinks
BigBasket Hyderabad 4598,Groceries
BigBasket Mumbai 2765,Groceries
ID-HP Petrol Pump Chennai 958,Fuel
BookMyShow Pune 4189,Entertainment
Nyk@@ Mumb@i 889,Shopping
BookMyShow Bangalore 4302,Entertainment
Air India Bangalore 108,Travel
electricity bill pune 3140,Bills & Recharge
BigBasket Bangalore 4263,Groceries
IRCTC Delhi 1079,Travel
Zoom Subscription Kolkata 968,Online Services
ApolloPharmacyDelhi1252,Medical
1mg Hyderabad 4082,Medical
Zomato Chennai 3974,Food & Drinks
CCD Kolkata 4869,Food & Drinks
IRCTC Mumbai 440,Travel
CCD Pune 374,Food & Drinks
Canva Kolkata 3577,Online Services
BookMyShow Bangalore 1386,Entertainment
Hotstar Mumbai 2501,Entertainment
Vodafone Bill Hyderabad 1243,Bills & Recharge
Shell Petrol Pump Delhi 1620,Fuel
Late Payment Fee Delhi 1961,Banking Charges
Nature's Basket Pune 2515,Groceries
Vodafone Bill Chennai 2026 txn,Bills & Recharge
B@nk Service Ch@rge Pune 761,Banking Charges
IndiGo Delhi 2548,Travel
DM@rt Hyder@b@d 4295,Groceries
Zoom Subscription Delhi 1277,Online Services
Bharat Petroleum Bangalore 3751,Fuel
water bill chennai 4609,Bills & Recharge
Tata Cliq Hyderabad 1129 txn,Shopping
Late Payment Fee Hyderabad 1994,Banking Charges
Electricity Bill Delhi 4889 txn,Bills & Recharge
Nature's Basket Kolkata 1708,Groceries
SonyLiv Delhi 4667,Entertainment
Nykaa Mumbai 1411,Shopping
HP Petrol Pump Hyderabad 2034,Fuel
Ajio Kolkata 2794,Shopping
1mg Chennai 4343,Medical
hotstar hyderabad 2493,Entertainment
Air India Hyderabad 2169,Travel
Hotstar Hyderabad 110,Entertainment
Apollo Pharmacy Pune 3772,Medical
Nature's Basket Bangalore 885,Groceries
ID-1mg Kolkata 413,Medical
CanvaMumbai3249,Online Services
PharmEasy Chennai 3518,Medical
Late Payment Fee Chennai 805,Banking Charges
Ajio Pune 716,Shopping
Adobe Hyderabad 3104,Online Services
IndiGo Bangalore 4461,Travel
IndianOilChennai3185,Fuel
KFC Kolkata 453,Food & Drinks
Bank Service Charge Delhi 2038 txn,Banking Charges
1mg Delhi 3172,Medical
McDon@lds Delhi 860,Food & Drinks
jio recharge delhi 2933,Bills & Recharge
Amazon Prime Pune 2320,Entertainment
1mg Delhi 3857,Medical
Airtel Recharge Delhi 3819,Bills & Recharge
ATM Withdrawal Fee Hyderabad 1135,Banking Charges
ID-Zoom Subscription Pune 2461,Online Services
Bank Service Charge Hyderabad 4300,Banking Charges
Shell Petrol Pump Hyderabad 972,Fuel
ATM Withdrawal Fee Hyderabad 3228,Banking Charges
Late Payment Fee Mumbai 773,Banking Charges
MaxHospitalMumbai3113,Medical
Spencers Kolkata 4352,Groceries
ATM Withdrawal Fee Chennai 2122,Banking Charges
Bharat Petroleum Kolkata 2785,Fuel
ID-Vodafone Bill Chennai 2315,Bills & Recharge
Shell Petrol Pump Kolkata 2116,Fuel
Indian Oil Mumbai 980,Fuel
Nykaa Delhi 2030,Shopping
Amazon Prime Hyderabad 1437,Entertainment
bank service charge delhi 4156,Banking Charges
Netflix Pune 2424 txn,Entertainment
Late Payment Fee Bangalore 3484,Banking Charges
HP Petrol Pump Chenn@i 2331,Fuel
Bank Service Charge Pune 750,Banking Charges
Water Bill Pune 1979,Bills & Recharge
ATM Withdrawal Fee Bangalore 3011,Banking Charges
Vodafone Bill Kolkata 3665,Bills & Recharge
Canva Bangalore 3753,Online Services
